Error,설명,
await,"await는 비동기 함수 내에서 사용되며, 비동기 작업의 완료를 기다리는 역할을 합니다.","import asyncio

async def main():
    print('main start')
    await asyncio.gather(ex_coroutine()) # ex_coroutine()의 완료를 기다림.
    print('main end')"
AssertionError,"AssertionError는 assert 문이 실패할 때 발생하는 에러입니다.
assert문은 주어진 조건이 거짓인 경우 에러를 일으키는 함수이며, if 조건문과 같이 동작합니다.
assert 함수는 주로 프로그램 점검을 할 때 이용됩니다.","x = 999
assert x != 999

결과값:
      1 x = 999
----> 2 assert x != 999
AssertionError:    "
AttributeError,"AttributeError는 대상이 지원하지 않는 함수를 사용하려 할 때 발생하는 에러입니다.
예를 들어, 숫자에 문자열을 대상으로 사용되는 함수를 사용할 경우 등의 문제에서 발생합니다.","x = 9989
x.split(8)

결과값:
      1 x = 9989
----> 2 x.split(8)
AttributeError: 'int' object has no attribute 'split"
EOFError,"EOFError는 'End of file Error'의 약자로, 파일 또는 입력 스트림의 끝에 도달했을 때 발생하는 오류입니다.
이 오류는 일반적으로 입력 함수(input)나 읽기 작업(open)을 수행할 때 발생합니다.
오류가 발생하는 상황의 예시는 다음과 같습니다.

1. input()함수를 사용하여 사용자로부터 입력을 받을 때, 인터프리터 오류 혹은 사용자의 입력 강제 종료가 일어나는 경우 EOFError가 발생합니다.
2. 파일을 읽을 때, 파일의 끝에서 read() 혹은 readline() 함수가 호출될 때 EOFError가 발생합니다.","inputfile = open('./file.txt', 'r') # 4줄로 구성된 txt file

while True:
    line = inputfile.readline()
    print(line)

    if not line: # text가 없을 시 에러 발생
        raise EOFError(""End of file reached"")

결과값:
first
second
third
end

      7 if not line:
----> 8     raise EOFError(""End of file reached"")

EOFError: End of file reached"
FloatingPointError,"FloatingPointError는 부동 소수점 연산에서 발생하는 예외입니다.
주로 0(=0.0)으로 나누는 연산이나 대수적인 연산과정 중 실수 범위에 해당하지 않는 결과값이 나올 때 발생합니다.
다만, 0으로 나누는 경우는 ZeroDivisionError, 실수 범위가 아닌 경우는 ValueError와 같이 다른 예외가 발생합니다.
FloatingPointError는 명시적으로 설정하지 않으면 발생하지 않습니다.","import numpy as np

with np.errstate(invalid='raise'):
    np.sqrt(-1)

      3 with np.errstate(invalid='raise'):
----> 4     np.sqrt(-1)

FloatingPointError: invalid value encountered in sqrt"
GeneratorExit,"GeneratorExit는 제너레이터 또는 코루틴이 종료될 때 발생하며, 일반적으로 Generator객체의 close() 매서드를 호출하거나 Generator 루프가 종료될 때 발생합니다.
GeneratorExit는 주로 제너레이터의 종료를 처리하기 위해 사용됩니다.","def ex_generator():
    try:
        yield 1
        yield 2
        yield 3
    except GeneratorExit:
        print(""GeneratorExit Closed"")

gen = ex_generator()
print(next(gen))
print(next(gen))
gen.close()

결과값:
1
2
GeneratorExit Closed
"
ImportError,"ImportError는 import 문이 모듈을 로드하는 데 문제가 있을 때 발생하는 오류입니다.
다음과 같은 경우 ImportError가 발생할 수 있습니다.

1. 모듈이 설치되어 있지 않은 경우
2. 모듈 이름이 잘못된 경우
3. 모듈 경로가 잘못된 경우
4. 모듈의 종속성이 충족되지 않은 경우
5. 모듈 파일이 손상된 경우

ImportError가 발생할 시 오류 메시지에 자세한 정보가 포함되어 있습니다.
이 메시지를 통해 원인을 파악하고 문제를 해결할 수 있습니다.","# example : 함수 이름이 잘못된 경우
from math import sinn #함수 명 오타 (sinn : X, sin : O)

----> 1 from math import sinn

ImportError: cannot import name 'sinn' from 'math' (unknown location)"
ModuleNotFoundError,"ModuleNotFoundError는 파이썬에서 모듈을 찾을 수 없을 때 발생하는 예외입니다.
다음 같은 경우에 ModuleNotFoundError가 발생합니다

1. 모듈이 설치되어 있지 않은 경우
2. 모듈이 시스템 경로에 없는 경우
3. 모듈의 이름이 잘못된 경우
4. 모듈 파일이 손상된 경우

ModuleNotFoundError가 발생할 시 오류 메시지에 자세한 정보가 포함되어 있습니다.
이 메시지를 통해 원인을 파악하고 문제를 해결할 수 있습니다.","# example : 모듈 이름이 잘못된 경우
import mathh

----> 1 import mathh

ModuleNotFoundError: No module named 'mathh' "
IndexError,"IndexError는 인덱스가 시퀀스 범위를 벗어날 때 발생합니다.
Python에서 인덱스는 0부터 시작하기 때문에 유효한 인덱스 범위는 0부터 길이-1 입니다.
유효한 범위 내에 있는지 확인할 필요가 있습니다.","ex_list = [1, 2, 3, 4]

ex_list[4]

----> 3 ex_list[4]

IndexError: list index out of range"
KeyError,KeyError는 딕셔너리(dictionary)에 존재하지 않는 키를 사용하여 접근할 때 발생하는 오류입니다.,"ex_dict = {'a' : 1, 'b' : 2, 'c' : 3}
value = ex_dict['key']

----> 2 value = ex_dict['key']

KeyError: 'key' "
KeyboardInterrupt,"KeyboardInterrupt는 사용자가 키보드 입력 등을 통해 프로그램의 실행을 중지시키는 동작을 수행할 때 발생하는 예외입니다.
일반적으로 인터럽트 키(Control-C 또는 Delete)를 누르면 발생합니다.","while True:
    print('never ending...')

# 인터프리터 '정지' 버튼 클릭 (like Ctrl+C or Delete)

결과값:
      1 while True:
----> 2     print('never ending...')

KeyboardInterrupt: "
MemoryError,"MemoryError는 프로그램이 더 이상 메모리를 할당할 수 없을 때 발생하는 오류입니다.
이 오류는 시스템의 가용 메모리가 부족한 경우 또는 프로그램이 너무 많은 메모리를 사용하는 경우에 발생할 수 있습니다.
대부분의 경우, MemoryError는 시스템의 물리적인 메모리 제한에 의해 발생합니다.
따라서 메모리 사용을 최적화하거나, 더 많은 메모리를 사용할 수 있는 환경을 마련하여 해결할 수 있습니다.
다음은 메모리 사용을 최적화하기 위한 접근 방법입니다.

1. 불필요한 데이터 구조 또는 객체를 삭제한다.
2. 큰 데이터를 처리할 때 파일 기반의 처리 방식이나 제너레이터 등을 사용하여 메모리 사용량을 줄인다.
3. 데이터를 작은 덩어리로 나누어 작업한다.
4. 메모리 사용을 모니터링하여 메모리 누수가 발생하는 지 확인한다. 메모리 누수는 사용하지 않는 객체가 메모리에 계속 로드되는 등의 사유로 발생할 수 있습니다.

이 밖에 메모리 사용 환경을 원활하게 바꾸는 방법도 있습니다.

1. 시스템의 물리적인 메모리 용량을 늘립니다.
2. 대규모 데이터 처리에 특화된 서버 또는 클라우드 환경을 이용합니다.
3. 대용량 데이터 처리에 특화된 데이터베이스나 분산 처리 시스템을 사용합니다.",
NameError,"NameError는 변수 또는 함수 등의 이름이 정의되지 않은 경우에 발생하는 오류입니다.
NameError는 해당 이름이 포함된 코드를 다시 검토하고 문제가 발생하는 부분을 자세히 살펴보면서 해결해야 합니다.
NameError는 다음과 같은 경우에 발생할 수 있습니다.

1. 변수, 함수, 클래스 등의 이름이 올바르게 정의되지 않은 경우
2. 변수를 사용하기 전에 선언되지 않았거나 초기화되지 않은 경우
3. 함수 또는 클래스를 호출하기 전에 정의되지 않은 경우
4. import 되지 않은 모듈을 사용하려는 경우","example_sentence1 = 'Hello World!'

print(example_sentence2)

----> 3 print(example_sentence2)

NameError: name 'example_sentence2' is not defined"
UnboundLocalError,"UnboundLocalError는 로컬 변수가 선언되었지만 초기화 되지 않은 경우에 발생합니다.
로컬 단위에서 선언 후 지역 단위에서 수정하거나, 참조하는 등의 경우에 발생합니다.","x = 10

def ex_func():
    x = x + 10

ex_func()

----> 6 ex_func()

      3 def ex_func():
----> 4     x = x + 10

UnboundLocalError: local variable 'x' referenced before assignment"
RuntimeError,"RuntimeError는 Python 인터프리터가 번역한 명령어가 실행 도중에 에러가 나는 경우에 발생합니다.
오류 발생 조건이 일어났을 경우에만 발생하게 됩니다.
이는 문법적인 문제가 있어 발생하는 SyntaxError와 구분되는 개념입니다.",
Traceback,"Traceback은 파이썬에서 예외(에러)가 발생하였을 때 어느 부분에서 예외(에러)가 발생하였는 지 알려주는 부분입니다.
예외(에러)가 발생하면 호출 스택을 거슬러 올라가며 함수의 정보를 출력합니다.
예를 들어, cell 내에서 함수가 호출 된 경우 해당 함수 내부에서 어느 부분에서 예외(에러)가 발생하는 지 나타냅니다.","# Traceback 형식
Traceback (most recent call last)
    File ""파일이름"", ""줄 번호"", in ""함수이름""
        호출된 함수 코드
예외타입 : 예외메시지"
NotImplementedError,"NotImplementedError는 파이썬에서 사용되는 내장 예외 클래스입니다.
이 예외는 메서드나 함수가 구현되지 않았음을 나타내는데 사용됩니다.
일반적으로 추상 클래스나 추상 메서드를 정의할 때 사용되며, 해당 메서드가 파생 클래스에서 구현되어야 함을 나타냅니다.
다음과 같은 상황에서 NotImplementedError가 자주 사용될 수 있습니다.

1. 추상 클래스의 추상 메서드가 파생 클래스에서 구현되지 않은 경우
2. 상속받은 클래스에서 필요한 메서드를 재정의하지 않은 경우
3. 일부 기능이 아직 구현되지 않았거나 지원되지 않는 경우","class Animal:
    def sound(self):
        raise NotImplementedError(""Subclasses must implement the sound method"")

class Dog(Animal):
    def sound(self):
        return ""멍멍!""

class Cat(Animal):
    def sound(self):
        return ""냥냥!""

class Cow(Animal):
    pass

dog = Dog()
cat = Cat()
cow = Cow()

print(dog.sound())
print(cat.sound())
print(cow.sound())

결과값:
멍멍!
냥냥!

      2 def sound(self):
----> 3     raise NotImplementedError(""Subclasses must implement the sound method"")

NotImplementedError: Subclasses must implement the sound method
"
RecursionError,"RecursionError는 재귀 호출이 지나치게 깊어지면 발생하는 오류입니다.
이는 재귀 함수를 사용할 때 주로 발생합니다.
재귀 함수는 자기 자신을 호출하는 함수로서 동일한 작업을 반복적으로 수행하거나 문제를 분할하여 해결할 때 사용됩니다.
이러한 재귀 함수가 무한히 반복되거나 스택의 한계를 초과할 때 RecursionError가 발생할 수 있습니다.","def infinite_recursion(n):
    print(n)
    infinite_recursion(n + 1)

infinite_recursion(1)

결과값:
1
2
...
2997
2998
...

      2     print(n)
----> 3     infinite_recursion(n + 1)
RecursionError: maximum recursion depth exceeded while calling a Python object"
OSError,"OSError는 Python에서 발생하는 파일 또는 운영 체제와 관련된 오류를 나타내는 예외입니다.
OSError는 파일 작업, 디렉토리 조작 등 다양한 상황에서 발생할 수 있습니다.
",
OverflowError,OverflowError는 산술 연산의 결과값의 너무 크거나 표현 범위를 벗어나서 Python이 표현할 수 없을 때 발생합니다.,"# example : e^1000 을 계산하는 코드지만, 결과가 매우 큰 수이며 Python의 표현 범위를 벗어 나는 경우.
import math

x = math.exp(1000)
print(x)

결과값:
----> 3 x = math.exp(1000)
      4 print(x)

OverflowError: math range erro
"
ReferenceError,"ReferenceError는 변수가 정의되지 않았거나 유효하지 않은 변수에 접근할 때 발생하는 예외입니다.
즉, 변수가 존재하지 않는 경우에 발생합니다.
ReferenceError는 다음과 같은 상황에서 발생할 수 있습니다.

1. 정의되지 않은 변수에 접근
2. 유효하지 않은 변수에 접근
3. 삭제된 변수에 접근

하지만 Python에서는 ReferenceError가 사용되지 않으며 해당 내용에 따른 예외가 존재합니다.",
StopIteration,StopIteration은 이터레이터에 의해 생성된 항목이 더 없는 경우 발생합니다.,"def ex_generator():
    yield 1
    yield 2

gen = ex_generator()

print(next(gen)) # 1번째 출력
print(next(gen)) # 2번째 출력
print(next(gen)) # 3번째 출력

결과값:
      8 print(next(gen)) # 2번째 출력
----> 9 print(next(gen))

StopIteration: "
StopAsyncIteration,"StopAsyncIteration 예외는 비동기 이터레이터와 비동기 제너레이터에서 더 이상 반환할 요소가 없는 경우 발생합니다.
이 예외는 순회를 종료하는 신호로 사용됩니다.
StopAsyncIteration 예외는 비동기 이터레이터와 비동기 제너레이터에서 내부적으로 처리되므로, 일반적으로 사용자가 직접 다룰 필요가 없습니다.
파이썬의 비동기 프로그래밍 환경에서 자동으로 처리되는 예외입니다.","import asyncio

async def my_async_generator():
    yield 1
    yield 2
    yield 3

async def main():
    async for item in my_async_generator():
        print(item)
    raise StopAsyncIteration

await main()

결과값:
1
2
3

     10     print(item)
---> 11 raise StopAsyncIteration

StopAsyncIteration: 
"
SyntaxError,"SyntaxError는 Python 코드의 구문 오류를 나타내는 내장 예외입니다.
Python 코드에서 문법적인 오류(ex. 구문, 들여쓰기, 식별자 등)가 있을 경우 나타납니다.","print('Hello World!'

결과값:
    print('Hello World!'
                        ^
SyntaxError: incomplete input"
IndentationError,"IndentationError는 잘못된 들여쓰기와 관련된 문법 오류의 베이스 클래스입니다.
SyntaxError의 서브 클래스입니다.","def ex_TabError():
    print('Hello')
        print('World!')

ex_TabError()

결과값:
    print('Hello')
    ^
IndentationError: expected an indented block after function definition on line 1"
TabError,"TabError는 들여쓰기가 일관성없는 탭과 스페이스 사용을 포함하는 경우 발생합니다.
들여쓰기를 할 때, 탭 혹은 스페이스 4번으로 통일 시켜본다면 해결할 수 있습닌다.
IndentationError 의 서브 클래스입니다.",
SystemError,"SystemError는 Python 인터프리터 내부 에러를 나타내는 예외입니다.
일반적으로 Python 인터프리터나 라이브러리의 버그 혹은 시스템 환경 문제로 발생합니다.
SystemError는 다음과 같은 경우를 확인이 필요합니다.

1. Python 버전 확인 및 업데이트
2. 라이브러리 버전 확인 및 업데이트
3. 시스템 환경 검토","
"
SystemExit,"SystemExit는 Python 프로그램이 sys.exit() 함수를 호출하거나 메인 스크립트가 종료될 때 발생합니다.
sys.exit() 함수를 호출하면 현재 실행 중인 Python 프로그램이 종료되는데, SystemExit 예외 처리 부분이 있다면 그 부분으로 이동합니다.
일반적으로 SystemExit는 프로그램을 명시적으로 종료하는 데 사용됩니다.","import sys

def ex_function():
    if True:
        sys.exit()

try:
    ex_function()
except SystemExit:
    print('프로그램이 종료되었습니다.')"
TypeError,"TypeError는 Python에서 객체의 데이터 타입이 잘못되었거나, 연산이 지원되지 않는 데이터 타입 간에 이뤄질 때 발생합니다.
TypeError가 발생한다면 데이터 타입이 올바르게 되었는지, 확인 후 데이터 타입 변환을 통해 해결할 수 있습니다.","x = 'Hello'
y = 5

x + y

결과값:

----> 4 x + y

TypeError: can only concatenate str (not ""int"") to str"
ValueError,"ValueError는 Python에서 값이 적절하지 않은 경우에 발생하는 예외입니다.
다음과 같은 경우에 ValueError가 발생할 수 있습니다.

1. 함수에 적절하지 않은 형태의 인자가 전달될 때
2. 함수에 전달되는 인자의 값의 범위가 유효하지 않을 때
3. 변환할 수 없는 형태의 값을 변환하려고 할 때","# example : 변환할 수 없는 형태의 값을 변환하려고 할 때
number = int(""Hello"")

결과값:
----> 1 number = int(""Hello"")

ValueError: invalid literal for int() with base 10: 'Hello' "
UnicodeError,"UnicodeError는 Python 유니코드 관련 에러가 일어날 때 발생합니다.
다음과 같은 경우에 UnicodeError가 발생할 수 있습니다.

1. 잘못된 인코딩 : 유니코드 문자열을 다른 인코딩으로 변환하려고 할 때 발생할 수 있습니다.
2. 잘못된 디코딩 : 인코딩된 바이트를 유니코드 문자열로 디코딩하려고 할 때 발생할 수 있습니다.
3. 잘못된 유니코드 문자열 처리 : 유니코드 문자열의 조합, 분리, 정규화 등의 작업에서 오류가 생길 수 있습니다.",
UnicodeEncodeError,"UnicodeEncodeError는 인코딩 중 유니코드 관련 에러가 일어날 때 발생하며 UnicodeError 의 서브 클래스입니다.
UnicodeEncodeError는 유니코드 문자열을 특정 인코딩으로 변환할 수 없는 경우에 발생합니다.","# example : 한글은 ASCII 인코딩으로 표현할 수 없는 경우
text = ""안녕 세상!""
encoded_text = text.encode(""ascii"")

결과값:
----> 2 encoded_text = text.encode(""ascii"")

UnicodeEncodeError: 'ascii' codec can't encode characters in position 0-4: ordinal not in range(128)
"
UnicodeDecodeError,"UnicodeDecodeError는 디코딩 중 유니코드 관련 에러가 일어날 때 발생하며 UnicodeError 의 서브 클래스입니다.
UnicodeDecodeError는 유니코드 문자열을 특정 인코딩으로 디코딩할 수 없는 경우에 발생합니다.","# example : 잘못된 UTF-8 인코딩된 byte 데이터를 UTF-8로 디코딩할 수 없는 경우
binary_data = b""í ½í¸""
decoded_text = binary_data.decode(""utf-8"")

결과값:
----> 2 decoded_text = binary_data.decode(""utf-8"")

UnicodeDecodeError: 'utf-8' codec can't decode byte 0xed in position 0: invalid continuation byte"
UnicodeTranslateError,"UnicodeTranslateError는 유니코드 문자열로 변환하는 과정에서 발생하며 UnicodeError 의 서브 클래스입니다.
UnicodeTranslateError는 유니코드 문자열을 특정 형식으로 변환할 수 없는 경우에 발생합니다.
UnicodeTranslateError는 일반적인 상황에서 자주 발생하지는 않습니다.
다만, 유니코드 관련 작업을 수행할 때 발생할 수 있습니다.
따라서 try-except 문을 사용하여 처리하는 방식으로 해결할 수 있습니다.","
"
LookupError,"LookupError는 Python에서 다양한 검색(lookup) 작업과 관련된 오류입니다.
LookupError는 다음과 같은 예외 클래스들의 베이스 클래스로 사용됩니다.

1. IndexError
2. KeyError
3. NameError","# IndexError: list index out of range
my_list = [1, 2, 3]
print(my_list[5])


# KeyError: 'x'
my_dict = {'a': 1, 'b': 2}
print(my_dict['x'])


# NameError: name 'x' is not defined
print(x)
"
ZeroDivisionError,"ZeroDivisionError는 어떤 수를 0으로 나누려고 할 때 발생합니다.
어떤 수를 0으로 나누는 수식은 수학적으로 정의되지 않는 연산이기 때문에 ZeroDivisionError 오류가 발생합니다.","print(example_zero = 99 / 0)

결과값:
----> 1 print(example_zero = 99 / 0)

ZeroDivisionError: division by zero"
WindowsError,"WindowsError는 이전 Python 버전에서 사용되면 예외 클래스로, 현재는 사용되지 않습니다.
현재는 OSError로 대체되었습니다.",
aiter,"비동기 이터레이터를 생성하기 위해 사용되는 함수입니다.
비동기 이터레이터는 async for 루프에서 사용되며, 비동기적으로 값을 생성하고 소비할 수 있는 방법을 제공합니다.","import asyncio

async def my_async_generator():
    yield 1
    yield 2
    yield 3

async def main():
    async for value in aiter(my_async_generator()):
        print(value)

await main()

결과값:
1
2
3"
awaitable anext,awaitable anext는 비동기 이터레이터에서 다음 값을 가져오는 함수입니다.,"import asyncio

async def my_async_generator():
    yield 1
    yield 2
    yield 3

async def main():
    async_gen = my_async_generator()
    value = await anext(async_gen)
    print(value)

    value = await anext(async_gen)
    print(value)

await main()

결과값:
1
2"
ascii,"ASCII는 American Standard Code for Information Interchange의 약어입니다.
ASCII는 영문 알파벳, 숫자, 특수 문자 등을 표현하기 위한 7비트 문자 인코딩 방식입니다.
ASCII는 일반적으로 사용되는 문자 인코딩 중 하나이며, 컴퓨터 시스템에서 텍스트를 표현하고 처리하는 데 사용됩니다.
Python에서는 ord(string)를 사용하여 문자를 ASCII 코드로, chr(int)을 사용하여 ASCII 코드를 문자로 변환할 수 있습니다.
다만, 한글은 지원하지 않습니다.","sentence = ""Hello World!""
ascii_code = ''
print('sentence : ', sentence)

for alpha in sentence:
    if ascii_code == '':
        ascii_code = str(ord(alpha))
    else:
        ascii_code = ascii_code + ' ' + str(ord(alpha))
print('string -> ASCII : ', ascii_code)

sentence_chr = ''
for asc in ascii_code.split(' '):
    sentence_chr = sentence_chr + chr(int(asc))
print('ASCII -> string : ', sentence_chr)

결과값:
sentence :  Hello World!
string -> ASCII :  72 101 108 108 111 32 87 111 114 108 100 33
ASCII -> string :  Hello World!"
bin,"bin() 함수는 정수를 이진수 문자열로 변환하는 내장 함수입니다.
bin() 함수는 정수를 “0b” 가 앞에 붙은 이진 문자열로 변환합니다.

","num = 10
binary = bin(num)
print(binary)

결과값:
0b1010"
breakpoint,"breakpoint() 함수는 디버깅을 위해 코드 실행을 중단하는 함수입니다.
breakpoint() 함수를 호출하면 프로그램 실행이 중지되고, 대화형 디버거로 전환됩니다.
","def calculate_sum(a, b):
    result = a + b
    breakpoint()  # 디버깅 지점
    return result

x = 10
y = 5
z = calculate_sum(x, y)
print(z)"
bytearray,"bytearray는 Python의 내장 클래스로서, 가변적인 바이트 배열을 나타냅니다.
bytearray 객체는 다양한 메서드를 제공하여 바이트 배열을 생성하고 수정할 수 있습니다.
다음은 bytearray의 주요한 메서드 목록입니다.

1. bytearray() 생성자: 빈 바이트 배열을 생성합니다.
2. bytearray(iterable) 생성자: iterable 객체로부터 바이트 배열을 생성합니다. 예를 들어, 문자열을 전달하여 문자열을 바이트로 변환할 수 있습니다.
3. bytearray(bytes) 생성자: bytes 객체로부터 바이트 배열을 생성합니다.
4. bytearray.decode(encoding, errors) 메서드: 바이트 배열을 문자열로 디코딩합니다.
5. bytearray.append(value) 메서드: 바이트 배열에 새로운 값을 추가합니다.
6. bytearray.extend(iterable) 메서드: iterable 객체의 값들을 바이트 배열에 추가합니다.
7. bytearray.pop(index=-1) 메서드: 지정된 인덱스에 해당하는 바이트를 제거하고 반환합니다.","data = bytearray([65, 80, 80, 76, 69])
decoded = data.decode('utf-8')
print(decoded)

결과값:
APPLE"
bytes,"bytes는 Python 내장 클래스로서, 0 부터 255 까지의 정수값을 가지는 불변의 바이트 시퀀스로 구성됩니다.
bytes는 불변성을 가지기 때문에 한 번 생성된 후에는 변경, 추가 등의 수정 작업이 불가능합니다.
하지만, 인덱싱과 슬라이싱을 통해 원하는 바이트에 접근은 가능합니다.
bytes 객체는 주로 이진 데이터 처리 또는 네트워크 통신에서 사용될 수 있으며, 불변성을 가지므로 안전하게 공유할 수 있습니다.","data = bytes([65, 80, 80, 76, 69])
print(data)

decoded = data.decode('utf-8')
print(decoded)

결과값:
b'APPLE'
APPLE
"
callable,"callable 함수는 인자로 전달된 객체가 호출이 가능한지 여부를 확인하는 함수입니다.
호출 가능한 객체는 함수, 메서드, 클래스 등을 포함합니다.
callable 함수는 객체 호출이 가능한 경우 'True' 를 반환하고 호출이 불가능 한 경우에는 'False'를 반환합니다.","class ex_Class:
    def ex_function(self):
        print('Hello, World!')
    
ex_object = ex_Class()

print(callable(ex_function))
print(callable(ex_Class))
print(callable(ex_object))

결과값:
True
True
False"
chr,"chr() 함수는 정수(inteager)형 매개변수를 받아서 해당하는 유니코드 문자를 반환합니다.
chr()함수는 ord()함수와 반대되는 개념입니다.","print(chr(97))

결과값:
a"
ord,"ord() 함수는 유니코드 문자를 받아서 해당하는 유니코드 코드 포인트를 정수형으로 반환합니다.
ord()함수는 chr()함수와 반대되는 개념입니다.","print(ord('A'))

결과값:
65"
@classmethod,"@classmethod는 Python에서 사용되는 데코레이터(decorator)입니다.
@classmethod로 정의된 메서드는 클래스 메서드로 동작합니다.

클래스 메서드는 클래스 레벨에서 호출할 수 있는 메서드로, 인스턴스에 속한 것이 아니라 클래스 자체에 속합니다.
클래스 메서드는 첫 번째 매개변수로 클래스 자신을 나타내는 cls를 받습니다.
이 cls 매개변수를 통해 클래스 속성에 접근하고 조작할 수 있습니다.

클래스 메서드는 인스턴스 변수에 의존하지 않고 클래스 자체의 상태나 동작을 다룰 때 사용됩니다.
또한, 서브클래스에서 오버라이딩 할 수 있는 메서드를 제공할 때 유용하게 활용됩니다.","class ex_Class:
    @classmethod
    def ex_class_method(cls, arg1, arg2):
        # 클래스 메서드 구현

# 클래스 메서드 호출
ex_Class.ex_class_method(arg1, arg2)"
compile,"compile은 파이썬 코드를 컴파일하여 코드 객체를 생성하는 내장 함수입니다.
compile 함수는 문자열 형태로 된 파이썬 코드를 인자로 받고, 해당 코드를 컴파일하여 실행 가능한 코드 객체를 반환합니다.
compile 함수는 동적인 코드 생성이나 실행 가능한 코드 문자열을 다룰 때 사용될 수 있습니다.
compile 함수는 다음과 같은 구조를 가집니다.

compile(source, filename, mode)
    1. source: 컴파일할 파이썬 코드를 나타내는 문자열입니다.
    2. filename: 컴파일된 코드의 파일명을 나타내는 문자열입니다.
    3. mode: 컴파일 모드를 나타내는 문자열입니다. 주로 ""exec"", ""eval"", ""single"" 중 하나를 사용합니다.","code = compile(""print('Hello, world!'), ""<string>"", ""exec"")
exec(code)

결과값:
Hello, world!"
complex,"complex 함수는 Python에서 복소수를 나타내는 데 사용됩니다.
complex를 사용하는 형식은 다음과 같습니다.

1. complex(real, imag) : 실수 부분을 나타내는 real 부분과 허수 부분을 나타내는 imag 부분을 정수 값으로 받아 복소수를 생성합닌다.
2. complex(string) : 생성할 복소수를 문자열로 나타낸 요소를 받아 생성합니다.","print(complex(2, 3))
print(complex(""2+3j""))
print(complex(2, 3) == complex(""2+3j""))

결과값:
2+3j
2+3j
True"
delattr,"delattr 함수는 파이썬의 내장 함수로, 객체의 속성(attribute)을 삭제하는 데 사용됩니다.","class ExClass:
    def __init__(self):
        self.attribute = ""Hello""

obj = ExClass()
print(obj.attribute)

delattr(obj, ""attribute"")
print(obj.attribute)

결과값:
Hello

      8 delattr(obj, ""attribute"")
----> 9 print(obj.attribute)

AttributeError: 'ExClass' object has no attribute 'attribute' "
dir,dir 함수는 객체가 가지고 있는 속성과 메서드의 리스트를 반환합니다.,"import math
print(dir(math))

결과값:
['__doc__',
 '__loader__',
 ...
  'trunc',
 'ulp']"
getattr,"getattr 함수는 객체에서 속성(attribute) 값을 가져오는 역할을 합니다.
getattr 함수는 다음과 같은 형식을 가집니다.

getattr(object, name, default)
- object : 값을 가져올 객체
- name : 가져올 속성의 이름
- default : 속성이 존재하지 않을 경우 반환할 기본값입니다. 기본값을 지정하지 않으면 속성이 존재하지 않을 때 'AttributeError'가 발생합니다.","class Ex_Class:
    def __init__(self):
        self.X = ""Hello""

ttt = Ex_Class()

print(getattr(ttt, 'X'))
print(getattr(ttt, 'Y', 'None'))
print(getattr(ttt, 'Y'))

결과값:
Hello
None

      7 print(getattr(ttt, 'X'))
      8 print(getattr(ttt, 'Y', 'None'))
----> 9 print(getattr(ttt, 'Y'))

AttributeError: 'Ex_Class' object has no attribute 'Y' "
divmod,divmod 함수는 두 개의 숫자를 인자로 받아서 몫과 나머지를 함께 반환합니다.,"result = divmod(10, 3)
print(result)

결과값:
(3, 1)"
eval,"eval 함수는 문자열로 표현된 Python 표현식을 실행하여 결과를 반환합니다.
eval 함수는 다음과 같은 구조를 가집니다.

eval(expression, globals=None, locals=None)

- expression : 실행할 Python 코드를 나타내는 문자열입니다.
- globals : 전역 이름 공간을 나타내는 딕셔너리입니다. 기본값은 현재 전역 이름 공간입니다.
- locals : 지역 이름 공간을 나타내는 딕셔너리입니다. 기본값은 현재 지역 이름 공간입니다.","x = 10
result = eval('x + 5')
print(result)

결과값:
15"
exec,"exec 함수는 Python의 내장 함수로, 문자열로 표현된 파이썬 코드를 실행합니다.
eval 함수와 비슷한 역할을 하지만 eval 함수는 실행 및 결과 반환을 하는 반면, exec 함수는 결과를 반환하지 않고 실행만 합니다.
exec 함수는 다음과 같은 구조를 가집니다.

exec(source, globals=None, locals=None)

- source : 실행할 Python 코드를 나타내는 문자열입니다.
- globals : 전역 이름 공간을 나타내는 딕셔너리입니다. 기본값은 현재 전역 이름 공간입니다.
- locals : 지역 이름 공간을 나타내는 딕셔너리입니다. 기본값은 현재 지역 이름 공간입니다.","
"
filter,"filter 함수는 주어진 함수를 이용하여 이터러블(iterable) 객체에서 원하는 요소만을 걸러내는 역할을 합니다.
다음은 filter 함수의 구조입니다.

filter(function, iterable)

- function : 걸러낼 요소를 판별하기 위해 호출되는 함수입니다. 함수는 True 혹은 False 를 반환해야 합니다.
- iterable : 걸러내고자 하는 요소들이 포함된 이터러블(iterable)객체입니다.","def is_even(num):
    return num % 2 == 0

number_list = [1, 2, 3, 4]
even_numbers = list(filter(is_even, number_list))
print(even_numbers)

결과값:
[2, 4]"
format,"format 은 문자열을 포맷팅하는 역할을 합니다.
format 함수는 문자열 내에 중괄호({})를 사용하여 변수나 값을 삽입하고, 해당 중괄호에 대응하는 값을 대체하는 방식으로 동작합니다.
format 함수는 다음과 같은 형식으로 사용됩니다.

format_string = ""string"".format(value, format_spec)
- value : 포맷팅할 값을 나타내는 변수
- format_spec : 포맷팅의 형식을 지정하는 옵션으로, 생략 가능합니다.","name = ""John""
age = 28

ex_sentence = ""My name is {} and I am {} years old"".format(name, age)
print(ex_sentence)

결과값
My name is John and I am 28 years old"
